agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Date,Daily_Recovered
70-79,Female,,0,4,,11/18/2020,
70-79,Female,,0,4,,11/19/2020,
70-79,Female,,0,4,,11/20/2020,
70-79,Female,,0,4,,11/21/2020,
70-79,Female,,0,4,,11/22/2020,
70-79,Female,,0,4,,11/23/2020,
70-79,Female,,0,4,,11/24/2020,
70-79,Female,,0,4,,11/25/2020,
70-79,Female,,0,4,,11/26/2020,
70-79,Female,,0,4,,11/27/2020,
70-79,Female,,0,4,,11/28/2020,
70-79,Female,,0,3,,11/29/2020,
70-79,Female,,0,3,,11/30/2020,
70-79,Female,,0,3,,12/1/2020,
70-79,Female,,0,3,,12/2/2020,
70-79,Female,,0,3,,12/3/2020,
70-79,Female,,0,3,,12/4/2020,
70-79,Female,,0,3,,12/5/2020,
70-79,Female,,0,3,,12/6/2020,
70-79,Female,,0,3,,12/7/2020,
70-79,Female,,0,3,,12/8/2020,
70-79,Female,,0,3,,12/9/2020,
70-79,Female,,0,3,,12/10/2020,
70-79,Female,,0,3,,12/11/2020,
70-79,Female,,0,3,,12/12/2020,
70-79,Female,,0,3,,12/13/2020,
70-79,Female,,0,3,,12/14/2020,
70-79,Female,,0,3,,12/15/2020,
70-79,Female,,0,3,,12/16/2020,
70-79,Female,,0,3,,12/17/2020,
70-79,Female,,0,3,,12/18/2020,
70-79,Female,,0,3,,12/19/2020,
70-79,Female,,0,3,,12/20/2020,
70-79,Female,,0,3,,12/21/2020,
70-79,Female,,0,3,,12/22/2020,
70-79,Female,,0,3,,12/23/2020,
70-79,Female,,0,3,,12/24/2020,
70-79,Female,,0,3,,12/25/2020,
70-79,Female,,0,3,,12/26/2020,
70-79,Female,,0,3,,12/27/2020,
70-79,Female,,0,3,,12/28/2020,
70-79,Female,,0,3,,12/29/2020,
70-79,Female,1,0,4,1,12/30/2020,
70-79,Female,1,0,5,1,12/31/2020,
70-79,Female,,0,5,,1/1/2021,
70-79,Female,,0,4,,1/2/2021,
70-79,Female,,0,4,,1/3/2021,
70-79,Female,,0,4,,1/4/2021,
70-79,Female,,0,4,,1/5/2021,
70-79,Female,,0,4,,1/6/2021,
70-79,Female,,0,4,,1/7/2021,
70-79,Female,,0,4,,1/8/2021,
70-79,Female,,0,4,,1/9/2021,
70-79,Female,,0,3,,1/10/2021,1
70-79,Female,,0,3,,1/11/2021,
70-79,Female,,0,3,,1/12/2021,
70-79,Female,,0,3,,1/13/2021,
70-79,Female,,0,3,,1/14/2021,
70-79,Female,,0,3,,1/15/2021,
70-79,Female,,0,3,,1/16/2021,
70-79,Female,,0,3,,1/17/2021,
70-79,Female,,0,2,,1/18/2021,1
70-79,Female,,0,2,,1/19/2021,
70-79,Female,,0,2,,1/20/2021,
70-79,Female,,0,2,,1/21/2021,
70-79,Female,,0,2,,1/22/2021,
70-79,Female,,0,2,,1/23/2021,
70-79,Female,,0,2,,1/24/2021,
70-79,Female,,0,2,,1/25/2021,
70-79,Female,,0,2,,1/26/2021,
70-79,Female,,0,2,,1/27/2021,
70-79,Female,,0,2,,1/28/2021,
70-79,Female,,0,2,,1/29/2021,
70-79,Female,,0,1,,1/30/2021,
70-79,Female,0,0,0,0,1/31/2021,0
70-79,Female,0,0,0,0,2/1/2021,0
70-79,Female,0,0,0,0,2/2/2021,0
70-79,Female,0,0,0,0,2/3/2021,0
70-79,Female,0,0,0,0,2/4/2021,0
70-79,Female,0,0,0,0,2/5/2021,0
70-79,Female,0,0,0,0,2/6/2021,0
70-79,Female,0,0,0,0,2/7/2021,0
70-79,Female,0,0,0,0,2/8/2021,0
70-79,Female,0,0,0,0,2/9/2021,0
70-79,Female,0,0,0,0,2/10/2021,0
70-79,Female,0,0,0,0,2/11/2021,0
70-79,Female,0,0,0,0,2/12/2021,0
70-79,Female,0,0,0,0,2/13/2021,0
70-79,Female,0,0,0,0,2/14/2021,0
70-79,Female,0,0,0,0,2/15/2021,0
70-79,Female,0,0,0,0,2/16/2021,0
70-79,Female,0,0,0,0,2/17/2021,0
70-79,Female,0,0,0,0,2/18/2021,0
70-79,Female,0,0,0,0,2/19/2021,0
70-79,Female,0,0,0,0,2/20/2021,0
70-79,Female,0,0,0,0,2/21/2021,0
70-79,Female,0,0,0,0,2/22/2021,0
70-79,Female,0,0,0,0,2/23/2021,0
70-79,Female,0,0,0,0,2/24/2021,0
70-79,Female,0,0,0,0,2/25/2021,0
70-79,Female,0,0,0,0,2/26/2021,0
70-79,Female,0,0,0,0,2/27/2021,0
70-79,Female,0,0,0,0,2/28/2021,0
70-79,Female,0,0,0,0,3/1/2021,0
70-79,Female,0,0,0,0,3/2/2021,0
70-79,Female,0,0,0,0,3/3/2021,0
70-79,Female,0,0,0,0,3/4/2021,0
70-79,Female,0,0,0,0,3/5/2021,0
70-79,Female,0,0,0,0,3/6/2021,0
70-79,Female,0,0,0,0,3/7/2021,0
70-79,Female,0,0,0,0,3/8/2021,0
70-79,Female,0,0,0,0,3/9/2021,0
70-79,Female,0,0,0,0,3/10/2021,0
70-79,Female,0,0,0,0,3/11/2021,0
70-79,Female,0,0,0,0,3/12/2021,0
70-79,Female,0,0,0,0,3/13/2021,0
70-79,Female,0,0,0,0,3/14/2021,0
70-79,Female,0,0,0,0,3/15/2021,0
70-79,Female,0,0,0,0,3/16/2021,0
70-79,Female,0,0,0,0,3/17/2021,0
70-79,Female,0,0,0,0,3/18/2021,0
70-79,Female,0,0,0,0,3/19/2021,0
70-79,Female,0,0,0,0,3/20/2021,0
70-79,Female,0,0,0,0,3/21/2021,0
70-79,Female,0,0,0,0,3/22/2021,0
70-79,Female,0,0,0,0,3/23/2021,0
70-79,Female,0,0,0,0,3/24/2021,0
70-79,Female,0,0,0,0,3/25/2021,0
70-79,Female,0,0,0,0,3/26/2021,0
70-79,Female,0,0,0,0,3/27/2021,0
70-79,Female,0,0,0,0,3/28/2021,0
70-79,Female,0,0,0,0,3/29/2021,0
70-79,Female,0,0,0,0,3/30/2021,0
70-79,Female,0,0,0,0,3/31/2021,0
70-79,Female,0,0,0,0,4/1/2021,0
70-79,Female,0,0,0,0,4/2/2021,0
70-79,Female,0,0,0,0,4/3/2021,0
70-79,Female,0,0,0,0,4/4/2021,0
70-79,Female,0,0,0,0,4/5/2021,0
70-79,Female,0,0,0,0,4/6/2021,0
70-79,Female,0,0,0,0,4/7/2021,0
70-79,Female,0,0,0,0,4/8/2021,0
70-79,Female,0,0,0,0,4/9/2021,0
70-79,Female,0,0,0,0,4/10/2021,0
70-79,Female,0,0,0,0,4/11/2021,0
70-79,Female,0,0,0,0,4/12/2021,0
70-79,Female,0,0,0,0,4/13/2021,0
70-79,Female,0,0,0,0,4/14/2021,0
70-79,Female,0,0,0,0,4/15/2021,0
70-79,Female,0,0,0,0,4/16/2021,0
70-79,Female,0,0,0,0,4/17/2021,0
70-79,Female,0,0,0,0,4/18/2021,0
70-79,Female,0,0,0,0,4/19/2021,0
70-79,Female,0,0,0,0,4/20/2021,0
70-79,Female,0,0,0,0,4/21/2021,0
70-79,Female,0,0,0,0,4/22/2021,0
70-79,Female,0,0,0,0,4/23/2021,0
70-79,Female,0,0,0,0,4/24/2021,0
70-79,Female,0,0,0,0,4/25/2021,0
70-79,Female,0,0,0,0,4/26/2021,0
70-79,Female,0,0,0,0,4/27/2021,0
70-79,Female,0,0,0,0,4/28/2021,0
70-79,Female,0,0,0,0,4/29/2021,0
70-79,Female,0,0,0,0,4/30/2021,0
70-79,Female,0,0,0,0,5/1/2021,0
70-79,Female,0,0,0,0,5/2/2021,0
70-79,Female,0,0,0,0,5/3/2021,0
70-79,Female,0,0,0,0,5/4/2021,0
70-79,Female,0,0,0,0,5/5/2021,0
70-79,Female,0,0,0,0,5/6/2021,0
70-79,Female,1,0,1,1,5/7/2021,
70-79,Female,,0,1,,5/8/2021,
70-79,Female,,0,1,,5/9/2021,
70-79,Female,,0,1,,5/10/2021,
70-79,Female,,0,1,,5/11/2021,
70-79,Female,,0,1,,5/12/2021,
70-79,Female,,0,1,,5/13/2021,
70-79,Female,,0,1,,5/14/2021,
70-79,Female,,0,1,,5/15/2021,
70-79,Female,,0,1,,5/16/2021,
70-79,Female,,0,1,,5/17/2021,
70-79,Female,,0,1,,5/18/2021,
70-79,Female,,0,1,,5/19/2021,
70-79,Female,,0,,,5/20/2021,1
70-79,Female,0,0,0,0,5/21/2021,0
70-79,Female,0,0,0,0,5/22/2021,0
70-79,Female,0,0,0,0,5/23/2021,0
70-79,Female,1,0,1,1,5/24/2021,
70-79,Female,,0,1,,5/25/2021,
70-79,Female,,0,1,,5/26/2021,
70-79,Female,,0,1,,5/27/2021,
70-79,Female,,0,1,,5/28/2021,
70-79,Female,,0,1,,5/29/2021,
70-79,Female,,0,1,,5/30/2021,
70-79,Female,,0,1,,5/31/2021,
70-79,Female,,0,1,,6/1/2021,
70-79,Female,,0,1,,6/2/2021,
70-79,Female,,0,1,,6/3/2021,
70-79,Female,,0,1,,6/4/2021,
70-79,Female,,0,1,,6/5/2021,
70-79,Female,,0,1,,6/6/2021,
70-79,Female,,0,1,,6/7/2021,
70-79,Female,,0,1,,6/8/2021,
70-79,Female,1,0,1,1,6/9/2021,1
70-79,Female,,0,1,,6/10/2021,
70-79,Female,,0,1,,6/11/2021,
70-79,Female,,0,1,,6/12/2021,
70-79,Female,,0,1,,6/13/2021,
70-79,Female,,0,1,,6/14/2021,
70-79,Female,,0,1,,6/15/2021,
70-79,Female,,0,1,,6/16/2021,
70-79,Female,,0,1,,6/17/2021,
70-79,Female,,0,1,,6/18/2021,
70-79,Female,,0,1,,6/19/2021,
70-79,Female,,0,1,,6/20/2021,
70-79,Female,,0,1,,6/21/2021,
70-79,Female,,0,1,,6/22/2021,
70-79,Female,,0,1,,6/23/2021,
70-79,Female,,0,1,,6/24/2021,
70-79,Female,,0,1,,6/25/2021,
70-79,Female,,0,1,,6/26/2021,
70-79,Female,,0,1,,6/27/2021,
70-79,Female,,0,1,,6/28/2021,
70-79,Female,,0,,,6/29/2021,1
70-79,Female,0,0,0,0,6/30/2021,0
70-79,Female,0,0,0,0,7/1/2021,0
70-79,Female,0,0,0,0,7/2/2021,0
70-79,Female,0,0,0,0,7/3/2021,0
70-79,Female,0,0,0,0,7/4/2021,0
70-79,Female,0,0,0,0,7/5/2021,0
70-79,Female,0,0,0,0,7/6/2021,0
70-79,Female,0,0,0,0,7/7/2021,0
70-79,Female,0,0,0,0,7/8/2021,0
70-79,Female,0,0,0,0,7/9/2021,0
70-79,Female,0,0,0,0,7/10/2021,0
70-79,Female,0,0,0,0,7/11/2021,0
70-79,Female,0,0,0,0,7/12/2021,0
70-79,Female,0,0,0,0,7/13/2021,0
70-79,Female,0,0,0,0,7/14/2021,0
70-79,Female,0,0,0,0,7/15/2021,0
70-79,Female,0,0,0,0,7/16/2021,0
70-79,Female,0,0,0,0,7/17/2021,0
70-79,Female,0,0,0,0,7/18/2021,0
